NomeCliente;EnderecoCompleto;ValorFatura;NumeroPaginas
Cliente Ficticio 278;R PRF ROQUE PASSARELLI,    71 - JARDIM AMERICA - TAUBATE - SP ;16017;4;
Cliente Ficticio 279;R PAULA FREITAS,    31, APT 710 - COPACABANA - RIO DE JANEIRO - RJ ;43793;4;
Cliente Ficticio 280;R FERNANDES SAMPAIO,    33, APT 14 - JARDIM SAO PAULO(ZONA NORTE) - SAO PAULO - SP ;5693;4;
Cliente Ficticio 281;R CIDADE DE VISEU,  1638 - LARANJAL - PELOTAS - RS ;25814;4;
Cliente Ficticio 282;R MAJ CASTRO,    30 - CENTRO - SANTANA DE PARNAIBA - SP ;27708;4;
Cliente Ficticio 283;R DR ALMENOR JARDIM SILVEIRA SN,BL 58 AP 44 - JARDIM ALVORADA - SANTO ANDRE - SP ;11595;4;
Cliente Ficticio 284;R ARITIBA,   395, CASA 1 - REALENGO - RIO DE JANEIRO - RJ ;16479;4;
Cliente Ficticio 285;R CEGONHA,    13, QD 82 - CPA IV - CUIABA - MT ;1595;4;
Cliente Ficticio 286;R LOURDES LOPES SANCHES,   300, BL 16, APT 33, ESC E - PARQUE CECAP - GUARULHOS - SP ;46068;4;
Cliente Ficticio 287;R JOSE ALVES DE ALMEIDA,   130, BL 6 Monet, APT 53 - JARDIM CELESTE - SAO PAULO - SP ;17566;4;
Cliente Ficticio 288;R CONS RIBAS,528 - EMBARE - SANTOS - SP ;83628;4;
Cliente Ficticio 289;R EPAMINONDAS MELO DO AMARAL,   519, CASA 3 - SITIO DO MANDAQUI - SAO PAULO - SP ;6300;4;
Cliente Ficticio 290;EST JOAO DUCIM,  1063, CASA 04 - JARDIM JAMAICA - SANTO ANDRE - SP ;10917;4;
Cliente Ficticio 291;R BRA DO GRAVATAI,380 - CIDADE BAIXA - PORTO ALEGRE - RS ;50765;4;
Cliente Ficticio 292;R PRFA MARIA PUREZA DE JESUS,  1107 - ATALAIA - ARACAJU - SE ;2315;4;
Cliente Ficticio 293;R RIACHUELO,   384 - CENTRO - SAO CARLOS - SP ;24311;4;
Cliente Ficticio 294;AV PORTUGAL,  1105, QD J-16, LT 12, APT 02 - SETOR MARISTA - GOIANIA - GO ;21368;4;
Cliente Ficticio 295;R JOAO BATISTA S DE OLIVEIRA,   128, CASA 21 - VISTA ALEGRE - CUIABA - MT ;13830;4;
Cliente Ficticio 296;AV PES OLIVETANOS,   543 - VILA ESPERANCA - SAO PAULO - SP ;11137;4;
Cliente Ficticio 297;R EPISCOPAL,1996,RUA EPISCOPAL ,121 - CENTRO - SAO CARLOS - SP ;30906;4;
Cliente Ficticio 298;R ANTONIO SIMM,   809 - CAPAO DA IMBUIA - CURITIBA - PR ;17904;4;
Cliente Ficticio 299;AV CONSTANTINO NERY,  2503, BL F, APT 102 - CHAPADA - MANAUS - AM ;37221;4;
Cliente Ficticio 300;R ARLINDO KILCAMP,   222 - FORQUILHAS - SAO JOSE - SC ;15336;4;
Cliente Ficticio 301;R MONTEIRO LOBATO,     9, BL MARIA JOSE, APT 112 - JOSE MENINO - SANTOS - SP ;22337;4;
Cliente Ficticio 302;R BRESSER,   639 - BRAS - SAO PAULO - SP ;13608;4;
Cliente Ficticio 303;SUL, AVN PQ AGUAS CLARAS, LT 3885, APT 1307 - AGUAS CLARAS - BRASILIA - DF ;45346;4;
Cliente Ficticio 304;R CLEMENTINO LUIS VIEIRA,   104 - SAO CRISTOVAO - PASSO FUNDO - RS ;19983;4;
Cliente Ficticio 305;R RIO GRANDE DO SUL,   374 - CENTRO - SAO CAETANO DO SUL - SP ;18080;4;
Cliente Ficticio 306;AV PRES WILSON,   272, APT 12 - CENTRO - SAO VICENTE - SP ;31941;4;
Cliente Ficticio 307;R WANDERLEY BORSARI,64 - PARQUE SAO LOURENCO - INDAIATUBA - SP ;2794;4;
Cliente Ficticio 308;R ERNESTO CARNEIRO SANTIAGO,   222, CASA A - PADRE EUSTAQUIO - BELO HORIZONTE - MG ;19446;4;
Cliente Ficticio 309;R JOSE RIBEIRO,   360 - PARQUE DO SOL - SAO JOSE DO RIO PRETO - SP ;18331;4;
Cliente Ficticio 310;VLA D,   385, QD E, LT 06/10, BL A-13, APT 404 - SETOR LESTE VILA NOVA - GOIANIA - GO ;8666;4;
Cliente Ficticio 311;R MARIA BONATTO MARENDA,   418 - AFONSO PENA - SAO JOSE DOS PINHAIS - PR ;26882;4;
Cliente Ficticio 313;R JOAO ALETTO,    54, FD - VILA MORELLI - MAUA - SP ;25554;4;
Cliente Ficticio 314;AV DO LAMI,87 - BELEM NOVO - PORTO ALEGRE - RS ;25590;4;
Cliente Ficticio 315;R ODETE FERNANDES CAMPOS,    61 - NOVO SANTA CECILIA (BARREIRO) - BELO HORIZONTE - MG ;9335;4;
Cliente Ficticio 316;AV MAL DEODORO DA FONSECA,914,ED MAISON LA PLAG - CENTRO - GUARUJA - SP ;18979;4;
Cliente Ficticio 317;R CD DE IRAJA,   413, BL A, APT 102 - BOTAFOGO - RIO DE JANEIRO - RJ ;32628;4;
Cliente Ficticio 318;R CARVALHO DE MENDONCA,    36, LJ 3 - COPACABANA - RIO DE JANEIRO - RJ ;23654;4;
Cliente Ficticio 321;R HORACIO NUNES PIRES,    25, CASA 01 - PARQUE AMERICA - SAO PAULO - SP ;16178;4;
Cliente Ficticio 322;R MOACIR SILVEIRA VALLIN,   262 - SANTIAGO - LONDRINA - PR ;641;4;
Cliente Ficticio 323;R SRG. G SANTANA,1100,BL 17 APT 22 - JARDIM TAQUARAL - SAO PAULO - SP ;9347;4;
Cliente Ficticio 324;R BENTO GONCALVES,  1662 - PATRIA NOVA - NOVO HAMBURGO - RS ;19067;4;
Cliente Ficticio 325;R PE LOBO,    17, CASA 02 - GAMELEIRA - BELO HORIZONTE - MG ;19740;4;
Cliente Ficticio 326;R MNS JOAO JOSE DE AZEVEDO,   191 - VILA ANADIR - SAO PAULO - SP ;17276;4;
Cliente Ficticio 327;R PRATA,   228 - CIDADE SOBERANA - GUARULHOS - SP ;10789;4;
Cliente Ficticio 328;R VIOLETA NILSEN MARTINS,    55, CASA 01 - JARDIM CANAA - LIMEIRA - SP ;19058;4;
Cliente Ficticio 329;R SIRIO LIBANESA,   123 - VILA CLAYTON - VALINHOS - SP ;19592;4;
Cliente Ficticio 330;AV OLYNTHO ANTUNES OLIVEIRA,   360 - JARDIM BELA VISTA - GUARATINGUETA - SP ;6070;4;
Cliente Ficticio 331;AV PEDRO ALVARES CABRAL,1991,AP 204 - TELEGRAFO SEM FIO - BELEM - PA ;19786;4;
Cliente Ficticio 332;R MANOEL ALBANO ROSKAMP,   223 - CAJURU - CURITIBA - PR ;16786;4;
Cliente Ficticio 333;R SERENATA,   111 - VILA CALIFORNIA - SAO PAULO - SP ;20789;4;
Cliente Ficticio 334;R MALLET,    92, APT 204 - HIGIENOPOLIS - RIO DE JANEIRO - RJ ;18570;4;
Cliente Ficticio 335;R MONTE VERDE,    39, FD CASA - SAO SALVADOR - BELO HORIZONTE - MG ;11761;4;
Cliente Ficticio 336;AV HIGIENOPOLIS,  1338, ED RES. HIGIENÓPOLIS II, APT 13 - JARDIM HIGIENOPOLIS - LONDRINA - PR ;5096;4;
Cliente Ficticio 337;R TAMANDARE,   997, APT 1303 - LIBERDADE - SAO PAULO - SP ;1938;4;
Cliente Ficticio 338;AV NADIMA DAMHA,  2000, QD D, LT 18 - RESIDENCIAL JARDINS - SAO JOSE DO RIO PRETO - SP ;20327;4;
Cliente Ficticio 339;R INDONESIA,   455 - PARQUE NOVO ORATORIO - SANTO ANDRE - SP ;21363;4;
Cliente Ficticio 340;R CEARA,   480, CASA 3 - FUNDACAO - SAO CAETANO DO SUL - SP ;1990;4;
Cliente Ficticio 341;PC OSWALDO CRUZ,124,BL 1 AP 134 - PARAISO - SAO PAULO - SP ;17662;4;
Cliente Ficticio 342;R BR DE MELGACO,  2350, SALA 3 - CENTRO-SUL - CUIABA - MT ;16153;4;
Cliente Ficticio 343;R CORRUIRA,    30 - VILA PADRE MANOEL DE NOBREGA - CAMPINAS - SP ;11148;4;
Cliente Ficticio 344;R COSTA DO SOL,765 - VILA COSTA DO SOL - SAO CARLOS - SP ;18419;4;
Cliente Ficticio 345;R SALIM IZAR,   333, BL D - PAINEIRA, APT 61 - VILA PROGREDIOR - SAO PAULO - SP ;38508;4;
Cliente Ficticio 346;R JAPAO,  1145 - MORADA DO SOL - AMERICANA - SP ;5250;4;
Cliente Ficticio 347;R DOLOVICO PISSAIA,1494,CASA 02 - AFONSO PENA - SAO JOSE DOS PINHAIS - PR ;16084;4;
Cliente Ficticio 349;R DA HARMONIA,   799, CASA 1 - PORTAL DA PRIMAVERA - COTIA - SP ;16402;4;
Cliente Ficticio 351;R BENEDITO DIAS DOS SANTOS,   191, BL A, APT 14 - JARDIM SABIA - COTIA - SP ;18942;4;
Cliente Ficticio 352;R VICENTE TOZO,    20 - INA - SAO JOSE DOS PINHAIS - PR ;31531;4;
Cliente Ficticio 353;TV ERNESTO FANELLI,    11, FD - JARDIM BRASIL (ZONA NORTE) - SAO PAULO - SP ;1939;4;
Cliente Ficticio 354;R NOEL DE MEDEIROS ROSA,   409, CASA 01 - CJ HAB J M FILHO - SOROCABA - SP ;21183;4;
Cliente Ficticio 355;R CDOR BASTOS,   243, APT 101 - FREGUESIA (ILHA DO GOVERNADOR) - RIO DE JANEIRO - RJ ;28672;4;
Cliente Ficticio 356;R DAS VIOLETAS,    78 - JARDIM DAS ROSAS - ITU - SP ;5071;4;
Cliente Ficticio 357;R CASTILHO ARIBERTI FAZZIO,   130, CASA 6 - JARDIM TUPINAMBA - SOROCABA - SP ;10497;4;
Cliente Ficticio 358;R ENG G C FRENDER,   927 - VILA ANTONIETA - SAO PAULO - SP ;20980;4;
Cliente Ficticio 359;AV AFONSO PENA,2260,QD 09, LT AREA, BL 01, APT 1105 - SETOR GOIANIA 2 - GOIANIA - GO ;11386;4;
Cliente Ficticio 360;R LAZIO,   100, APT 302 - VILA NOVA - BLUMENAU - SC ;30386;4;
Cliente Ficticio 361;Q, QD 31, CJ G, LT 18 - PARANOA - BRASILIA - DF ;21364;4;
Cliente Ficticio 362;R ANTONIO GOMES,   330, CASA 5 - CRUZ DAS ARMAS - JOAO PESSOA - PB ;19430;4;
Cliente Ficticio 363;R BARATA RIBEIRO,   414, APT 85 - BELA VISTA - SAO PAULO - SP ;60089;4;
Cliente Ficticio 364;R AGENOR DE ABREU,   155 - GOIANIA - BELO HORIZONTE - MG ;22556;4;
Cliente Ficticio 365;R ARICURI,   266, FD - CAMPO GRANDE - RIO DE JANEIRO - RJ ;32381;4;
Cliente Ficticio 366;R PRFA VERA LUCIA NOGUEIRA LUCAS,   114 - JARDIM CITY - GUARULHOS - SP ;22994;4;
Cliente Ficticio 367;R DR PINTO FERRAZ,75,AP 32 - VILA MARIANA - SAO PAULO - SP ;27931;4;
Cliente Ficticio 368;R ALUISIO DE AZEVEDO,136,FRENTE - VILA AMORIM - AMERICANA - SP ;19237;4;
Cliente Ficticio 369;R LUIZ FOGAGNOLO,134 - PLANALTO VERDE - RIBEIRAO PRETO - SP ;28561;4;
Cliente Ficticio 370;R CEL SILVERIO MAGALHAES,   663 - VILA SANTO ESTEFANO - SAO PAULO - SP ;14457;4;
Cliente Ficticio 371;R JOSE LAUER,   298 - CONDOMINIO ESPLANADA DO SOL - SAO JOSE DOS CAMPOS - SP ;17966;4;
Cliente Ficticio 372;R FRANCISCO CIPRIANO DO AMARAL,   149 - JARDIM COLORADO - SAO JOSE DOS CAMPOS - SP ;9608;4;
Cliente Ficticio 373;R YOSHIMARA MINAMOTO,   858, CASA 2 - JARDIM BRASILIA - SAO PAULO - SP ;7357;4;
Cliente Ficticio 374;AV DAS CEREJEIRAS,   960, CASA 4 - JARDIM JAPAO - SAO PAULO - SP ;13557;4;
Cliente Ficticio 375;R ARACATUBA,   697, CASA 4 - VILA IPOJUCA - SAO PAULO - SP ;26115;4;
Cliente Ficticio 376;R ADOLFINA AREAL SOUTO (CJ I PARAIBA),     7,   C1 - ADRIANOPOLIS - MANAUS - AM ;22258;4;
Cliente Ficticio 377;R HENRIQUE DUARTE DO PATEO,    57 - JARDIM NOVA SUICA - LIMEIRA - SP ;7727;4;
Cliente Ficticio 378;R GEN HASEGAWA,   138 - BANDEIRAS - OSASCO - SP ;28700;4;
Cliente Ficticio 379;R JANGURUCU,   542 - PARQUE DA MOOCA - SAO PAULO - SP ;46274;4;
Cliente Ficticio 380;AVENIDA CENTRAL, BL 1145, CASA 10 - NUCLEO BANDEIRANTE - BRASILIA - DF ;37710;4;
Cliente Ficticio 381;R GABRIEL DANUNZIO,   293, CASA A - JARDIM AEROPORTO III - MOGI DAS CRUZES - SP ;7748;4;
Cliente Ficticio 383;AV N SRA DE COPACABANA,   363, APT 102 - COPACABANA - RIO DE JANEIRO - RJ ;27238;4;
Cliente Ficticio 385;R JOSE MOSCARDINI,   175 - JARDIM NOSSA SENHORA DE FATIMA - HORTOLANDIA - SP ;18433;4;
Cliente Ficticio 386;R SEBASTIAO GARCIA GIMENES,   734 - ALVINOPOLIS - ATIBAIA - SP ;15027;4;
Cliente Ficticio 387;R VINTE E TRES DE JUNHO,   151, CASA 2 - DOS CASA - SAO BERNARDO DO CAMPO - SP ;17349;4;
Cliente Ficticio 388;R HAITI,21 - CIDADE NOVA - MANAUS - AM ;19390;4;
Cliente Ficticio 389;R PE LOPES,444,ED MARROCOS APT 13 - SAO DIMAS - PIRACICABA - SP ;24700;4;
Cliente Ficticio 390;AV 5 DE NOVEMBRO,   677 - VILA NASTRI - ITAPETININGA - SP ;5693;4;
Cliente Ficticio 391;CJ JOAO EMILIO FALCAO,1880,COND ISADORA,  BL 04,  APT 303 - CRISTO REI - TERESINA - PI ;7731;4;
Cliente Ficticio 392;R MIGUEL FERNANDES MALDONADO,   343 - JARDIM SANTA RITA - GUARULHOS - SP ;22428;4;
Cliente Ficticio 393;R BATAGUACU,25,A - VILA MARIA ALTA - SAO PAULO - SP ;18047;4;
Cliente Ficticio 394;R DAS ESMERALDAS,    55, BL A2, APT 12 - JARDIM PETROPOLIS - CAMPO GRANDE - MS ;19915;4;
Cliente Ficticio 395;R DELGADO DE CARVALHO,    65, APT 202 - TIJUCA - RIO DE JANEIRO - RJ ;6560;4;
Cliente Ficticio 396;R LUZIANIA,    51, QD CH-28, CASA 02 - JARDIM NOVO MUNDO - GOIANIA - GO ;28238;4;
Cliente Ficticio 397;R ARARIBA,   169, FD - JARDIM SANTA CRISTINA - SANTO ANDRE - SP ;10458;4;
Cliente Ficticio 398;R LUIS GAMA,    37 - JARDIM MONCOES - SANTO ANDRE - SP ;4382;4;
Cliente Ficticio 399;TV CENTAUREA MAIOR,    59 - VILA CARMEM - SAO PAULO - SP ;6145;4;
Cliente Ficticio 400;R ORESTES BARBOSA,   166 - JARDIM PARAVENTI - GUARULHOS - SP ;22402;4;
Cliente Ficticio 401;R RETIRO,145,BL A APT - MARANHAO - SAO PAULO - SP ;47194;4;
Cliente Ficticio 402;R D BOSCO,   206, BL B, APT 42 - MOOCA - SAO PAULO - SP ;17145;4;
Cliente Ficticio 403;R SANTOS,  1245 - JARDIM AMERICA - BELO HORIZONTE - MG ;31176;4;
Cliente Ficticio 404;R NARITA,495,CASA 3 - JARDIM JAPAO - SAO PAULO - SP ;27761;4;
Cliente Ficticio 405;R JOSE DE ALENCAR ROGEDO,286,C - MINASLANDIA (P MAIO) - BELO HORIZONTE - MG ;21227;4;
Cliente Ficticio 406;R LEONOR DOMINGUES,   253 - JARDIM HERCILIA - SAO PAULO - SP ;14701;4;
Cliente Ficticio 408;NORTE, RUA 22, LT 04, APT 1004 - NORTE (AGUAS CLARAS) - BRASILIA - DF ;29363;4;
Cliente Ficticio 409;CONDOMINIO VIVENDAS ALVORADA II, CJ K, LT 07 - SOBRADINHO - BRASILIA - DF ;21870;4;
Cliente Ficticio 410;PSG S JOAO,    24, QD 51 - CABANAGEM - BELEM - PA ;2087;4;
Cliente Ficticio 411;R S BENTO,  1050 - CENTRO - ARARAQUARA - SP ;5853;4;
Cliente Ficticio 412;R JOSE ALBANO,   637, - VILA BARRETO - SAO PAULO - SP ;30617;4;
Cliente Ficticio 413;R CESAR BATISTA,   192 - VILA GUARANI (Z SUL) - SAO PAULO - SP ;32499;4;
Cliente Ficticio 414;R OSCAR DE SOUZA ALVES,   243 - JARDIM SANTA INEZ - ITAPETININGA - SP ;17474;4;
Cliente Ficticio 415;AV JURUCE,   520, APT 62 - INDIANOPOLIS - SAO PAULO - SP ;22050;4;
Cliente Ficticio 416;R FRANCISCA NUNES LEITE,    20 - JARDIM MONTERREY - SOROCABA - SP ;20082;4;
Cliente Ficticio 417;R TEMPLARIOS,   131, CASA 4 - VILA FORMOSA - SAO PAULO - SP ;5324;4;
Cliente Ficticio 418;R PARAIBA,332,CASA 2 / FUNDOS - CHACARA MACHADINHO I - AMERICANA - SP ;4764;4;
Cliente Ficticio 419;R ANTONIO FERNANDES JACOME,   119 - VILA IMPERIO - SAO PAULO - SP ;28465;4;
Cliente Ficticio 421;R JOSE RIBINSKI,    21 - CACHOEIRA - ARAUCARIA - PR ;16948;4;
Cliente Ficticio 422;R REPUBLICA (CIDADE BAIXA),   281, APT 405 - CIDADE BAIXA - PORTO ALEGRE - RS ;7512;4;
Cliente Ficticio 423;AV MQ DE SAO VICENTE,   188, BX - CAMPO GRANDE - SANTOS - SP ;44287;4;
Cliente Ficticio 424;R DES CAMPOS,   111 - INCONFIDENCIA - BELO HORIZONTE - MG ;13491;4;
Cliente Ficticio 425;AL 8 (1204 SUL),    19 - PLANO DIRETOR SUL - PALMAS - TO ;21078;4;
Cliente Ficticio 426;PC DR BERNARDINO DE CAMPOS,   285, APT 14 - CENTRO - SAO VICENTE - SP ;18753;4;
Cliente Ficticio 427;AV ANTONIO CARLOS MAGALHAES,3359,APT 1302 - PRQ BELA VISTA - SALVADOR - BA ;13054;4;
Cliente Ficticio 428;R CAME,586,AP 7 - MOOCA - SAO PAULO - SP ;5295;4;
Cliente Ficticio 429;R ALEMANHA,  1755, BL 3, APT 47 - VILA CAMILOPOLIS - SANTO ANDRE - SP ;19491;4;
Cliente Ficticio 430;R ALCIDES LOURENCO DA ROCHA,   265 - CIDADE MONCOES - SAO PAULO - SP ;5118;4;
Cliente Ficticio 431;R N SR DO BONFIM,    52 - JARDIM RODEIO - MOGI DAS CRUZES - SP ;3591;4;
Cliente Ficticio 432;R MARTIM AFONSO DE SOUZA,   656 - JARDIM SAO CAETANO - SAO CAETANO DO SUL - SP ;35104;4;
Cliente Ficticio 433;AV CNSO NEBIAS,   459, BL B, APT 25 - ENCRUZILHADA - SANTOS - SP ;19014;4;
Cliente Ficticio 434;R IGARAPE-ACU,352,BLOCO 12  -  APTO: 403 - JACAREPAGUA - RIO DE JANEIRO - RJ ;18895;4;
Cliente Ficticio 435;R CNSO ANTONIO PRADO,   414 - VILA NOVA - CAMPINAS - SP ;18928;4;
Cliente Ficticio 436;R SERRA DO CARACA,   193, FD - CONJUNTO MORADA DA SERRA - SABARA - MG ;38758;4;
Cliente Ficticio 437;AV GEN GUEDES DA FONTOURA,   976, APT 303 - BARRA DA TIJUCA - RIO DE JANEIRO - RJ ;46227;4;
Cliente Ficticio 438;AV PE SENA FREITAS,   119 - PARQUE ARTUR ALVIM - SAO PAULO - SP ;11850;4;
Cliente Ficticio 439;R SILVESTRE GONCALVES,    75 - VILA CARBONE - SAO PAULO - SP ;15997;4;
Cliente Ficticio 440;R GUARANIS,   568 - PEDREGULHO - GUARATINGUETA - SP ;9122;4;
Cliente Ficticio 441;R TANNUS FARES,   201 - IMPERIAL PARQUE (SOUSAS) - CAMPINAS - SP ;13378;4;
Cliente Ficticio 442;TV VAN DICK,    14 - VILA EDE - SAO PAULO - SP ;34911;4;
Cliente Ficticio 443;R FR DIOGO DAS CHAGAS,    12 - JARDIM ANGELA (ZONA LESTE) - SAO PAULO - SP ;7834;4;
Cliente Ficticio 444;R JOSE MARIA DE ARAUJO REGADAS,   138, APT 204 - TIJUCA - TERESOPOLIS - RJ ;25326;4;
Cliente Ficticio 445;R PEREIRA DA SILVA,   330, APT 405 - LARANJEIRAS - RIO DE JANEIRO - RJ ;32954;4;
Cliente Ficticio 446;PC CRISTO REDENTOR,     5 - ALTO SAO PEDRO - TAUBATE - SP ;29974;4;
Cliente Ficticio 447;TERCEIRA AVENIDA, AE 13, LT M, APT 202 - NUCLEO BANDEIRANTE - BRASILIA - DF ;18718;4;
Cliente Ficticio 448;R TEREZINHA,0,QD 9 LT 18 - JARDIM DAS ESMERALDAS - GOIANIA - GO ;20004;4;
Cliente Ficticio 449;AV DAS AMERICAS, 16150, LJ 129, SS - RECREIO DOS BANDEIRANTES - RIO DE JANEIRO - RJ ;28755;4;
Cliente Ficticio 450;AV DA CONCHETA POLASI PIPOLI,   148 - YOLANDA OPICE - ARARAQUARA - SP ;26433;4;
Cliente Ficticio 451;R PASCAL,  1292, APT 93 - CAMPO BELO - SAO PAULO - SP ;6273;4;
Cliente Ficticio 452;R ANTONIO PEREIRA BRAGA,   210 - JARDIM PRIMAVERA - SAO JOSE DO RIO PRETO - SP ;4657;4;
Cliente Ficticio 453;R C,    73 - JARDIM CRISTIN ALICE - GUARULHOS - SP ;1937;4;
Cliente Ficticio 454;R MAJ FREIRE,   578, APT 86 - VILA MONTE ALEGRE - SAO PAULO - SP ;18639;4;
Cliente Ficticio 455;R PRF JOSE RANIERI QUADRA, QD 8, - 55 - CENTRO - BAURU - SP ;17890;4;
Cliente Ficticio 457;TV AGOSTINHO PUPO,30,APT 41 - LAGOA SECA - MOGI DAS CRUZES - SP ;17552;4;
Cliente Ficticio 458;R VLTO ALDO GIGLIO PUCCI,  2870 - JARDIM PULICANO - FRANCA - SP ;10185;4;
Cliente Ficticio 459;R SILVA BUENO,  2301, APT 2 - IPIRANGA - SAO PAULO - SP ;42416;4;
Cliente Ficticio 460;R HERCULANO DE FREITAS,    73 - FUNDACAO - SAO CAETANO DO SUL - SP ;2989;4;
Cliente Ficticio 462;R ESTEVAO DE ARAUJO,    72 - VILA PARANAGUA - SAO PAULO - SP ;22295;4;
Cliente Ficticio 463;R EUDMIRA ALMEIDA NEVES RINALDO,    26 - VILA NOVA SOROCABA - SOROCABA - SP ;24397;4;
Cliente Ficticio 464;R HIPOPOTAMO,   149, CS 1 - JARDIM CASA BRANCA - EMBU DAS ARTES - SP ;16898;4;
Cliente Ficticio 465;R ALTO BELO,   743 - VILA ANTONIETA - SAO PAULO - SP ;1941;4;
Cliente Ficticio 466;R FRANCISCO SANCHES,  1804 - RESIDENCIAL CIDADE JARDIM - SAO JOSE DO RIO PRETO - SP ;12876;4;
Cliente Ficticio 467;R CARANDA(STA TEREZINHA),   350 - CAMPANARIO - DIADEMA - SP ;14284;4;
Cliente Ficticio 468;R CASTRO ALVES,   457, CASA 2 - CERAMICA - SAO CAETANO DO SUL - SP ;7877;4;
Cliente Ficticio 469;R EVARISTO DA VEIGA,   182 - CAMPO GRANDE - SANTOS - SP ;22030;4;
Cliente Ficticio 470;R JOSE MARIA GALVAO,   121 - JARDIM ALBERTO GOMES - ITU - SP ;10486;4;
Cliente Ficticio 471;AV MONTEMAGNO,  2167 - VILA FORMOSA - SAO PAULO - SP ;29539;4;
Cliente Ficticio 473;R 6 A,    25, BL C, QD G3, LT 3/60, APT 103 - SETOR OESTE - GOIANIA - GO ;23758;4;
Cliente Ficticio 474;R BARRA LONGA,   218 - SALGADO FILHO - BELO HORIZONTE - MG ;17490;4;
Cliente Ficticio 475;R MAL MASCARENHAS DE MORAIS,    93, APT 103 - COPACABANA - RIO DE JANEIRO - RJ ;33993;4;
Cliente Ficticio 476;R PURPURINA,   155, CJ 95 - SUMAREZINHO - SAO PAULO - SP ;23655;4;
Cliente Ficticio 477;AV DR EPITACIO PESSOA,   664, BL B, APT 401 - PONTA DA PRAIA - SANTOS - SP ;25759;4;
Cliente Ficticio 478;R TEOTONIO VILELA,145 - JARDIM SAO RAFAEL - SAO CARLOS - SP ;19855;4;
Cliente Ficticio 479;R TEREZINA,  1501 - JARDIM BRASILANDIA - FRANCA - SP ;6025;4;
Cliente Ficticio 480;AV RAPOSO TAVARES,   999 - PAULICEIA - PIRACICABA - SP ;19920;4;
Cliente Ficticio 481;R JOAO AGRIPINO FORTES,    51 - PORTAL DAS COLINAS - GUARATINGUETA - SP ;15381;4;
Cliente Ficticio 482;R MARIA HEILBUTH SURETTE,  1295, APT 501 - BURITIS - BELO HORIZONTE - MG ;10487;4;
Cliente Ficticio 483;R CARLOS STEINEN,   412 - PARAISO - SAO PAULO - SP ;9999;4;
Cliente Ficticio 484;R RANGEL PESTANA,   857 - VILA VIRGINIA - RIBEIRAO PRETO - SP ;24973;4;
Cliente Ficticio 485;R ZINIAS,   209, CASA 3 - JARDIM PRIMAVERA - MAUA - SP ;13726;4;
Cliente Ficticio 486;AV JOAO PESSOA,   324 - LAUZANE PAULISTA - SAO PAULO - SP ;15458;4;
Cliente Ficticio 487;ROD DO MARIO COVAS,1500,BL B4 APT 52 - COQUEIRO - ANANINDEUA - PA ;467;4;
Cliente Ficticio 488;R QUINZE DE NOVEMBRO,  1627, APT 501 - CENTRO - PELOTAS - RS ;22668;4;
Cliente Ficticio 489;R JOVINA GOMES DE SOUZA,   789 - LETICIA - BELO HORIZONTE - MG ;9719;4;
Cliente Ficticio 490;R JOAQUIM GONCALVES DA SILVA,   285, BL 13, APT 301 - RIO BRANCO - BELO HORIZONTE - MG ;32337;4;
Cliente Ficticio 491;AV SEN VERGUEIRO,  2947 - ANCHIETA - SAO BERNARDO DO CAMPO - SP ;4545;4;
Cliente Ficticio 493;R DR CARVALHO DE MENDONCA,   428 - VILA BELMIRO - SANTOS - SP ;17522;4;
Cliente Ficticio 494;AV 21,  2152 - CONSOLACAO - RIO CLARO - SP ;26525;4;
Cliente Ficticio 495;R VC 21, QD 34, LT 07 - CONJUNTO VERA CRUZ - GOIANIA - GO ;16460;4;
Cliente Ficticio 496;AV ELISEU DE ALMEIDA,  2046, BL B/MANACAS, APT 13 - INSTITUTO DE PREVIDENCIA - SAO PAULO - SP ;1935;4;
Cliente Ficticio 497;R PORTUGUESA,   465, APT 107 - PARTENON - PORTO ALEGRE - RS ;13770;4;
Cliente Ficticio 498;R PRFA CECY CORDEIRO THOFEHRN,   165, APT 302 - SARANDI - PORTO ALEGRE - RS ;22170;4;
Cliente Ficticio 499;R JEAN DE BRIENNE,    99 - RECANTO SANTO ANTONIO - SAO PAULO - SP ;3140;4;
Cliente Ficticio 526;R DR JOAQUIM RODRIGUES DE SIQUEIRA,  1453 - VILA BOA VISTA 1 - SAO CARLOS - SP ;2901;4;
Cliente Ficticio 527;R DR CASTRO E COSTA,   169 - PETROPOLIS - MANAUS - AM ;37198;4;
Cliente Ficticio 529;R ROSEMARY SADDI,    71, BL 26, APT 312 - COSMORAMA - MESQUITA - RJ ;27413;4;
Cliente Ficticio 530;R JOAO GERBELLI,412 - DEMARCHI - SAO BERNARDO DO CAMPO - SP ;17938;4;
Cliente Ficticio 555;R EDU CHAVES,   295 - VILA GABRIEL - SOROCABA - SP ;15834;4;
Cliente Ficticio 569;R REV ALFREDO SIMON,   674 - TRES VENDAS - PELOTAS - RS ;48983;4;
Cliente Ficticio 571;R ANNA SANCHES PERES,   300, CASA 3 - ALIANCA - OSASCO - SP ;16123;4;
Cliente Ficticio 573;SHIN, QD QI03, CJ 02, CASA 07 - LAGO NORTE - BRASILIA - DF ;27500;4;
Cliente Ficticio 574;R SILVIA,95,BL 1 AP 24 - BELA VISTA - SAO PAULO - SP ;19078;4;
